taxon	Bact_total	Lumbricina	Formicidae	Isoptera	Coleoptera	Araneae	Diplopoda	Chilopoda	Larvas	Enchytraeidae	Macrofauna	Oribatida	Mesostigmata	Prostigmata	Collembola	Mesofauna	Fauna Total	COT	COPg	COPf	COM	pH	Nt	Pe	Pt	CHt	CHs	Humedad Vol -aut-(%)	Temp - suelo (?C)	Tem -aire (?C)	Taire-Tsuelo	Densidad (g/cm3)	Porosidad (%)	HT	PT	PF	Vmax	Km	[Vmax_Km]	CMB	nifH_(qPCR)	Acaulospora alpina	A. bireticulata	A. delicata	A. denticulata	A. excavata	A. laevis	A. mellea	A. rehmii	A. scrobiculata	A. spinosa	Ambispora leptoticha	Archaeospora trappei	Claroideoglomus claroideum	C. etunicatum	C. luteum	Entrophospora infrequens	Septoglomus constrictum	Funneliformis coronatum	F. geosporus	F. mosseae	Gigaspora decipiens	G. gigantea	G. margarita	G. rosea	G. aggregatum	Glomus brohultii	G. fuegianum	G. microagregatum	Glomus sp. 1	Glomus sp. 2	Glomus sp. 3	Pacispora boliviana	Pacispora sp. 1	Rhizophagus clarus 	R. fasciculatum	R.  intraradices	Sclerocystis sinuosum	Sclerocystis sp. 1	Scutellospora biornata	S. calospora	S. dipapillosa	S. rubra	Scutellospora sp. 1	Racocetra fulgida	Dentiscutata heterogama	Cetraspora pellucida	Diversidad -1	Riqueza	Equitatividad -1	Densidad de esporas total 	010: 10:0 2OH	032: 14:0 ISO	036: 14:0	042: 15:1 ISO G	045: 15:0 ISO	046: 15:0 ANTEISO	051: 15:0	056: 16:1 ISO H	058: 16:0 ISO	060: 16:0 ANTEISO	062: 16:1 w9c	063: 16:1 w5c	064: 16:0	069: 16:0 10 methyl	071: 15:0 3OH	072: ANTEISO 17:1 w9c	075: 17:0 ISO	076: 17:0 ANTEISO	078: 17:1 w8c	081: 17:0 CYCLO	083: 17:0	084: 16:1 2OH	087: 17:0 10 methyl	090: 18:3 w6c (6	091: 18:0iso	092: 18:1 w9c	093: 18:1 w7c	095: 18:1 w5c	096: 18:0	097: 11 methyl 18:1 w7c	100: TBSA 10Me18:0	103: 19:0 ISO	106: 19:0 CYCLO w8c	111: 20:4 w6	115: 20:1 w9c	unclassified	MC18	Bradyrhizobium	CandidatusSolibacter	Methylobacterium	Phenylobacterium	CandidatusEntotheonella	Acidisoma	A17	Kaistobacter	Balneimonas	Pimelobacter	Pseudomonas	Marmoricola	Nocardioides	Aquicella	Planctomyces	Roseomonas	Bacillus	Pedomicrobium	Prosthecobacter	Kribbella	Chondromyces	Skermanella	Opitutus	Hyphomicrobium	Rhodanobacter	CandidatusProtochlamydia	Devosia	Chthonomonas	Rhizobium	Caulobacter	Azospirillum	Chelatococcus	Terriglobus	Aeromicrobium	Bosea	CandidatusXiphinematobacter	Legionella	Oscillochloris	Mesorhizobium	Clostridium	Caldilinea	Rubrobacter	Anaeromyxobacter	Bdellovibrio	Chromohalobacter	Labrys	Massilia	Streptomyces	Edaphobacter	Blastochloris	Rhodopseudomonas	Acidisphaera	CandidatusRhabdochlamydia	Dokdonella	Flavobacterium	Rhodospirillum	Shinella	Deinococcus	Nitrospira	Geobacter	Pseudonocardia	Rhodomicrobium	Methylosinus	Asticcacaulis	Mycobacterium	Stenotrophomonas	Brevundimonas	Steroidobacter	Inquilinus	Novosphingobium	Burkholderia	Cellvibrio	Raoultella	Actinospica	Geodermatophilus	Rickettsiella	Acidimicrobium	Micromonospora	Nitrobacter	Parachlamydia	Rhodovibrio	Singulisphaera	Luteolibacter	Afipia	Alicyclobacillus	Paenibacillus	Thermomonas	Virgisporangium	Arthrobacter	Herpetosiphon	Luteibacter	Lutibacterium	Paracoccus	Spirochaeta	Amycolatopsis	Couchioplanes	Geothrix	Iamia	Nitrosovibrio	Phyllobacterium	Sphingobium	Actinoplanes	Archangium	Blastococcus	Corallococcus	Nannocystis	Agrobacterium	Aquamonas	Nitrosospira	Roseococcus	Saccharopolyspora	Tatlockia	Thermobaculum	Thiothrix	Acidiphilium	Aurantimonas	Desulfosporomusa	Insolitispirillum	Salinibacter	Acetobacter	Ammoniphilus	Caloramator	Coprococcus	Coxiella	Cystobacter	Cytophaga	Desulfosporosinus	Glycomyces	Haloferula	Kaistia	Methylococcus	Pirellula	Plesiocystis	Pseudochrobactrum	Rhodococcus	Rickettsia	Rubellimicrobium	Streptosporangium	Xanthomonas	Acidovorax	Actinomycetospora	Alkaliphilus	Anaerolinea	Arhodomonas	Aromatoleum	Azoarcus	Catenulispora	Cupriavidus	Dehalococcoides	Dyella	Ensifer	Halorhodospira	Hydrocarboniphaga	Jiangella	Kineosporia	Knoellia	Marinobacter	Microtetraspora	Mycoplana	Rhodobium	Achromobacter	Acinetobacter	Actinoallomurus	Actinomadura	Actinopolymorpha	Agromyces	Alkanindiges	Amaricoccus	Aminobacter	Arenimonas	Asaia	Bacteriovorax	CandidatusRhodoluna	Catellatospora	Dactylosporangium	Dehalobacterium	Desulfobacula	Desulfobulbus	Desulfovibrio	Halomonas	Herminiimonas	Kibdelosporangium	Kouleothrix	Kutzneria	Laribacter	Lentzea	Leptolyngbya	Leptospira	Luedemannella	Lysinibacillus	Magnetospirillum	Marinibacillus	Methylarcula	Nonomuraea	Oceanobacillus	Oleibacter	Pandoraea	Phycicoccus	Ralstonia	Rhodobaca	Rhodobacter	Roseiflexus	Saccharophagus	Salicola	Salisaeta	Selenomonas	Shigella	Shimazuella	Solibacillus	Sphaerisporangium	Sphingopyxis	Sphingosinicella	Sporichthya	Sporotalea	Sutterella	Telmatospirillum	Thauera	Trabulsiella	Treponema	Verrucosispora	Xanthobacter	A.Azucar	A.ProteinasyAA	Act.Litica	Act.Nitrificante	Aerobios	AerobiosEstrictos	AerobiosObligados	Anaerobios	AnaerobiosFacultativos	FdCPolypeptona	Fermentadores	H.Aerobicos	M.AGrasosdeCCorta	Mixotrofos	No	O.Metano	O.Sulfuro	ParasitosBacterias	QuimioAutotrofos	QuimioHeterotrofos	QuimioOrganotroficos	R.Nitritos	COT	pH	Nt	Pe	Humedad_Vol_aut	Temp_suelo	Temp_aire	Taire-Tsuelo	Humedad_gravimetrica	Densidad	Porosidad	Acidicapsa	Acidiferrimicrobium	Acidobacterium	Aliidongia	Amphritea	Anaeroglobus	Arenimicrobium	Brevitalea	Calditerricola	Cavicella	Chthoniobacter	Cryptanaerobacter	Desulfomonile	Desulfospira	Dissulfurirhabdus	Gemmata	Gemmatimonas	Gemmatirosa	Heliobacterium	Limisphaera	Luteimonas	Luteitalea	Lysobacter	Microvirga	Modestobacter	Nordella	Occallatibacter	Paludibaculum	Pelobacter	Prevotella	Reyranella	Rhodoplanes	Solirubrobacter	Sphingomonas	Sulfobacillus	Tellurimicrobium	Thermodesulfobium	Thermovenabulum	Vicinamibacter
BPF12	1006	240	720	0	160	0	0	320	240	3280	4960	188439	30558	40744	15279	320856	325816	1	5	0	3	0	5	0	7	6	5	0	1	38	9	504	1	4778	9	309	9	20	6	26	10	72	0	71	349	21	6	4	0	0	6	15	69	6	4	0	0	10	26	0	499	7	1379	62	0	0	0	6	0	0	6	7	85	1	99	0	0	0	0	0	1	31	0	1	31	11	77	0	0	0	3	93	0	0	0	0	7	85	5	23	15	7	2	62	0	2	62	2	62	6	54	0	0	0	0	0	0	0	0	0	0	0	3	92	0	3	994	59	25	12	5	4	4	5	6	4	7	1	1	0	3	0	4	0	2	1	0	1	1	0	1	1	0	2	1	2	0	0	0	0	0	0	1	0	0	0	5	0	0	0	1	1	1	0	2	1	0	0	2	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	5	0	0	123	0	1	68	3	67	10	169	21	0	4	54	1	0	51	1	0	0	9385	8	8801762796	16	3	42	15	26	9	14	36	16	0	3	6	6	3	34	41	4	1	76	5	2	4	1	11	52	5	68	2	5	14	0	1	46	0	0	6	1	2	5	15	6	8	2	5	23	17	39
BPF14	978	0	160	0	0	160	0	0	160	4720	5200	178253	203718	448179	40744	932009	937209	1	5	0	3	0	4	0	8	5	7	0	1	21	NA	2702	5	465	4	23	8	23	-0	8	596	83	1	84	0	0	92	174	51	0	1	84	0	30	31	0	1023	2	659	48	0	0	2	76	0	0	92	31	23	5	89	0	0	0	0	0	0	0	0	8	29	0	0	0	7	1	5	92	0	1	18	0	0	17	76	2	37	0	1	18	4	73	0	0	14	2	0	0	0	0	0	0	0	2	37	61	0	0	5	92	0	0	0	0	0	2	956	86	29	9	15	4	1	5	4	9	6	4	0	2	3	0	1	1	2	1	2	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	4	0	0	99	0	1	49	2	47	13	135	11	0	0	51	2	0	0	3	0	1	4605	5	1414364641	88	6	5	2	7	84	8	1	5	2	4	9	3	5	28	35	4	1	69	4	0	13	2	11	56	3	90	3	3	4	0	0	75	2	0	1	3	2	4	16	4	14	1	2	16	10	60
BPF22	987	0	5520	0	80	0	0	80	480	3680	9840	366693	203718	234276	61116	977848	987688	1	4	0	3	0	5	0	7	6	5	0	1	41	8	480	4519	300	8	24	4	27	7	30	0	67	311	11	6	4	0	0	6	15	69	6	4	0	0	10	26	0	499	7	1379	62	0	0	0	6	0	0	6	7	85	1	99	0	0	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	1	28	1	28	0	2	55	3	83	0	0	0	0	0	0	0	1	28	0	0	0	0	0	0	1	28	0	0	0	0	12	76	0	0	999	53	25	11	19	7	3	2	5	3	1	2	0	1	1	3	0	0	2	3	0	1	0	3	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	6	1	0	88	0	3	40	5	39	16	184	17	0	0	47	1	1	0	0	0	0	1553	5	0	7	17	17	28	10	13	1	54	8	1	4	9	4	5	21	42	1	0	67	2	2	0	4	15	44	2	88	5	4	8	2	1	79	1	3	3	2	0	5	21	4	11	0	0	12	4	38
BPF24	1012	400	4000	0	80	80	0	0	320	8000	12880	509295	188439	682455	10186	1726509	1739389	1	6	0	3	0	4	0	9	5	6	0	1	31	8	NA	2434	4	410	3	21	9	24	1	0	14	438	1	1	84	0	0	92	174	51	0	1	84	0	30	31	0	1023	2	659	48	0	0	2	76	0	0	92	31	23	5	89	0	0	0	0	0	0	0	0	7	6	0	0	0	4	71	7	6	0	0	0	0	23	53	0	0	0	18	82	0	0	41	18	0	0	0	0	0	0	0	5	88	0	0	0	9	41	0	0	0	0	0	0	9	987	78	32	10	7	5	2	3	3	6	2	3	0	3	1	2	3	3	1	1	2	2	1	0	0	2	0	0	1	0	1	0	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4	0	0	96	0	2	63	2	62	15	145	16	0	0	34	1	0	1	2	0	1	4955	5	0	21	23	23	-0	31	11	1	55	11	6	3	3	4	1	42	37	6	0	88	4	1	13	0	10	56	4	70	0	7	7	1	3	77	2	0	0	3	1	5	17	1	3	2	2	9	6	30
BPF32	973	80	23840	0	400	160	0	160	240	1520	26400	269927	280113	61116	30558	707921	734321	1	4	0	2	0	4	0	8	6	5	0	1	30	9	488	5	5061	6	334	9	17	8	27	10	4	0	73	196	83	6	4	0	0	6	15	69	6	4	0	0	10	26	0	499	7	1379	62	0	0	0	6	0	0	6	7	85	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	0	6	31	1	26	27	76	0	3	79	6	31	0	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	5	5	0	0	0	0	974	68	31	10	18	9	1	4	5	8	6	1	0	2	0	0	2	5	2	0	0	1	0	1	0	1	0	1	2	1	1	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	5	0	0	92	0	1	48	1	47	6	191	17	1	0	45	1	0	0	0	0	0	1449	7	1195393169	41	78	2	76	2	34	2	34	19	0	7	8	4	3	10	20	3	2	101	1	0	3	2	14	36	3	75	2	3	6	1	0	63	4	2	5	0	0	3	19	3	11	0	6	13	3	41
BPF34	1035	0	240	0	80	0	0	0	80	4640	5040	56022	35651	86580	20372	224090	229130	1	2	0	3	0	4	0	6	5	6	0	1	22	NA	2362	2	325	1	22	3	23	6	1	0	57	400	1	84	0	0	92	174	51	0	1	84	0	30	31	0	1023	2	659	48	0	0	2	76	0	0	92	31	23	5	89	0	2	36	0	0	0	0	0	0	10	64	0	0	0	3	55	0	0	0	0	0	15	37	0	0	0	7	9	0	0	33	1	0	0	0	0	0	0	0	5	91	0	56	18	0	1	18	0	0	1	18	0	0	57	952	94	29	11	9	6	4	2	6	8	10	0	0	2	2	1	3	2	3	3	0	1	0	0	0	2	0	0	2	1	3	0	1	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	2	0	0	110	0	1	61	1	60	8	163	16	0	0	50	1	0	0	1	0	0	1605	5	1253648915	7	4	7	3	9	13	11	7	13	3	2	0	2	2	34	29	3	1	80	2	1	13	1	9	56	1	71	1	1	13	1	3	93	2	4	1	4	3	12	20	2	9	0	2	18	11	40
BPLL12	910	480	960	0	0	160	80	240	480	1120	3520	193532	56023	35651	5093	315763	319283	1	8	0	4	0	3	1	2	6	4	0	2	198	879	4	7800	2	157	42	3	23	3	25	0	55	526	98	21	34	0	0	33	450	4	5	25	2	3	0	66	11	49	5	25	616	18	662	8	0	33	0	62	7	0	1	31	86	67	1	66	0	1	17	0	0	0	0	0	0	1	17	0	0	0	2	34	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939	86	20	30	4	4	3	9	8	1	0	2	0	2	0	1	6	0	2	1	2	0	2	0	3	1	0	2	0	1	2	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	4	0	0	96	0	1	42	1	42	15	226	11	0	0	54	0	0	0	2	1	1	1	5	0	8	15	18	28	9	14	1	52	20	0	1	0	5	0	3	41	3	4	35	3	1	2	0	10	39	0	58	3	4	11	8	1	12	5	1	0	0	13	9	27	4	0	0	9	15	5	91
BPLL14	931	480	0	0	0	400	640	240	80	80	1920	860708	91673	122231	40744	1161192	1163112	2	3	0	2	0	3	1	8	5	3	0	2	232	NA	4647	1	1047	3	22	9	24	3	1	13	349	21	2	7	0	1	38	409	18	6	91	4	15	0	18	66	0	364	94	1009	81	0	4	84	58	6	0	1	38	45	62	1	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	2	36	0	0	0	0	0	0	0	0	0	0	1	48	3	0	NA	814	98	55	24	4	17	0	21	9	11	6	5	0	1	2	8	0	2	4	0	4	1	0	0	4	3	1	2	2	1	2	0	0	1	3	0	0	0	0	0	0	1	1	0	0	3	1	0	0	2	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	2	0	0	157	0	2	86	2	85	17	167	7	0	0	72	1	0	0	0	0	1	1	5	0	8	21	24	2	2	16	1	53	22	0	2	0	0	10	0	17	2	4	46	2	2	0	0	2	72	0	41	6	2	3	0	0	11	6	0	1	1	1	3	27	1	5	2	5	11	1	61
BPLL22	1005	80	80	0	0	0	0	80	80	160	480	117138	40744	66208	30558	275020	275500	1	7	0	3	0	2	1	2	6	6	0	2	82	700	5	7667	7	327	2	37	7	23	6	0	64	628	57	21	34	0	0	33	450	4	5	25	2	3	0	66	11	49	5	25	616	18	662	8	0	33	0	62	7	0	1	31	86	67	1	66	0	0	0	0	0	0	0	0	7	16	0	0	0	4	77	0	0	0	0	0	7	16	2	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933	84	29	23	9	4	3	7	6	3	0	2	0	2	1	4	2	1	1	2	5	1	2	0	2	1	0	0	1	2	0	1	1	0	0	1	0	0	0	1	0	2	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	1	1	0	112	0	1	59	2	58	16	186	12	0	0	53	1	1	0	4	0	0	5	6	1219085487	30	88	8	2	1	93	18	87	8	0	6	0	5	9	9	33	4	2	52	10	1	1	2	9	50	3	48	2	4	14	5	0	38	4	0	1	1	6	6	24	2	10	1	8	23	2	79
BPLL24	997	240	640	0	0	160	0	640	400	320	2400	168067	20372	71301	66208	331042	333442	2	5	0	2	0	4	1	9	5	5	0	2	134	NA	4541	5	1017	1	22	24	5	2	5	17	234	92	2	7	0	1	38	409	18	6	91	4	15	0	18	66	0	364	94	1009	81	0	4	84	58	6	0	1	38	45	62	1	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	91	1	13	0	0	0	0	0	3	39	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	1	55	4	56	905	82	51	23	13	5	4	13	0	10	5	3	0	4	2	1	3	0	3	3	0	3	0	0	1	0	1	1	0	3	1	1	0	2	1	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	49	1	0	0	103	1	7	55	8	53	8	160	8	2	0	49	2	0	1	2	0	0	1	5	120190779	5	8	5	6	7	14	1	25	14	0	4	0	3	2	5	30	3	6	59	2	0	4	0	4	50	0	57	2	7	8	2	0	33	10	1	1	0	0	6	17	1	4	0	9	11	7	91
