taxon	Bact_total	Lumbricina	Formicidae	Coleoptera	Araneae	Diplopoda	Larvas	Enchytraeidae	Macrofauna	Oribatida	Mesostigmata	Prostigmata	Collembola	Mesofauna	Fauna Total	COT	COPg	COM	Nt	Pt	CHt	Temp - suelo (?C)	Tem -aire (?C)	Porosidad (%)	HT	PT	PF	Vmax	nifH_(qPCR)	Acaulospora alpina	A. bireticulata	A. delicata	A. denticulata	A. excavata	A. laevis	A. mellea	A. rehmii	A. scrobiculata	A. spinosa	Ambispora leptoticha	Archaeospora trappei	Claroideoglomus claroideum	C. etunicatum	C. luteum	Entrophospora infrequens	Septoglomus constrictum	Funneliformis coronatum	F. geosporus	F. mosseae	Gigaspora decipiens	G. gigantea	G. margarita	G. rosea	G. aggregatum	G. microagregatum	Glomus sp. 1	Glomus sp. 2	Glomus sp. 3	Pacispora boliviana	Pacispora sp. 1	Rhizophagus clarus 	111: 20:4 w6	unclassified	MC18	Bradyrhizobium	CandidatusSolibacter	Methylobacterium	Phenylobacterium	CandidatusEntotheonella	Acidisoma	A17	A.Azucar	A.ProteinasyAA	Aerobios	AerobiosObligados	Anaerobios	AnaerobiosFacultativos	FdCPolypeptona	Fermentadores	H.Aerobicos	M.AGrasosdeCCorta	O.Metano	O.Sulfuro	QuimioHeterotrofos	COT	pH	Nt	Pe	Humedad_Vol_aut	Temp_suelo	Temp_aire	Taire-Tsuelo	Humedad_gravimetrica	Densidad	Porosidad	Acidicapsa	Acidobacterium	Aliidongia	Amphritea	Anaeroglobus	Arenimicrobium	Brevitalea	Calditerricola	Cavicella	Chthoniobacter	Cryptanaerobacter	Desulfospira	Gemmata	Gemmatimonas	Gemmatirosa	Heliobacterium	Limisphaera	Luteimonas	Luteitalea	Lysobacter	Modestobacter	Paludibaculum	Pelobacter	Prevotella	Reyranella	Rhodoplanes	Solirubrobacter	Sphingomonas	Tellurimicrobium	Thermodesulfobium	Thermovenabulum	Vicinamibacter
BPF12	1006	240	720	160	0	0	240	3280	4960	188439	30558	40744	15279	320856	325816	1	5	3	5	7	6	1	38	1	4778	9	309	9	10	72	0	71	349	21	6	4	0	0	6	15	69	6	4	0	0	10	26	0	499	7	1379	62	0	0	0	0	6	7	85	1	99	0	994	59	25	12	5	4	4	5	6	42	5	123	1	68	3	67	10	169	21	54	1	1	9385	8	8801762796	16	3	42	15	26	9	14	36	16	3	6	6	3	34	41	4	1	76	5	4	11	52	5	68	2	5	14	0	46	6	1	2	5	15	6	8	5	23	17	39
BPF14	978	0	160	0	160	0	160	4720	5200	178253	203718	448179	40744	932009	937209	1	5	3	4	8	5	1	21	5	465	4	23	8	596	83	1	84	0	0	92	174	51	0	1	84	0	30	31	0	1023	2	659	48	0	0	2	76	0	0	23	5	89	0	0	0	0	0	956	86	29	9	15	4	1	5	4	30	4	99	1	49	2	47	13	135	11	51	2	3	4605	5	1414364641	88	6	5	2	7	84	8	1	5	4	9	3	5	28	35	4	1	69	4	13	11	56	3	90	3	3	4	0	75	1	3	2	4	16	4	14	2	16	10	60
BPF22	987	0	5520	80	0	0	480	3680	9840	366693	203718	234276	61116	977848	987688	1	4	3	5	7	6	1	41	4519	300	8	24	4	0	67	311	11	6	4	0	0	6	15	69	6	4	0	0	10	26	0	499	7	1379	62	0	0	0	6	6	7	85	1	99	0	0	0	999	53	25	11	19	7	3	2	5	46	6	88	3	40	5	39	16	184	17	47	1	0	1553	5	0	7	17	17	28	10	13	1	54	8	4	9	4	5	21	42	1	0	67	2	0	15	44	2	88	5	4	8	2	79	3	2	0	5	21	4	11	0	12	4	38
BPF24	1012	400	4000	80	80	0	320	8000	12880	509295	188439	682455	10186	1726509	1739389	1	6	3	4	9	5	1	31	2434	4	410	3	21	0	14	438	1	1	84	0	0	92	174	51	0	1	84	0	30	31	0	1023	2	659	48	0	0	2	76	92	31	23	5	89	0	0	0	987	78	32	10	7	5	2	3	3	57	4	96	2	63	2	62	15	145	16	34	1	2	4955	5	0	21	23	23	-0	31	11	1	55	11	3	3	4	1	42	37	6	0	88	4	13	10	56	4	70	0	7	7	1	77	0	3	1	5	17	1	3	2	9	6	30
BPF32	973	80	23840	400	160	0	240	1520	26400	269927	280113	61116	30558	707921	734321	1	4	2	4	8	6	1	30	5	5061	6	334	9	10	4	0	73	196	83	6	4	0	0	6	15	69	6	4	0	0	10	26	0	499	7	1379	62	0	0	0	0	6	7	85	1	99	0	974	68	31	10	18	9	1	4	5	40	5	92	1	48	1	47	6	191	17	45	1	0	1449	7	1195393169	41	78	2	76	2	34	2	34	19	7	8	4	3	10	20	3	2	101	1	3	14	36	3	75	2	3	6	1	63	5	0	0	3	19	3	11	6	13	3	41
BPF34	1035	0	240	80	0	0	80	4640	5040	56022	35651	86580	20372	224090	229130	1	2	3	4	6	5	1	22	2	325	1	22	3	0	57	400	1	84	0	0	92	174	51	0	1	84	0	30	31	0	1023	2	659	48	0	0	2	76	0	31	23	5	89	0	2	36	0	952	94	29	11	9	6	4	2	6	40	2	110	1	61	1	60	8	163	16	50	1	1	1605	5	1253648915	7	4	7	3	9	13	11	7	13	2	0	2	2	34	29	3	1	80	2	13	9	56	1	71	1	1	13	1	93	1	4	3	12	20	2	9	2	18	11	40
BPLL12	910	480	960	0	160	80	480	1120	3520	193532	56023	35651	5093	315763	319283	1	8	4	3	2	6	2	198	7800	2	157	42	3	0	55	526	98	21	34	0	0	33	450	4	5	25	2	3	0	66	11	49	5	25	616	18	662	8	0	62	7	0	1	31	86	67	0	939	86	20	30	4	4	3	9	8	51	4	96	1	42	1	42	15	226	11	54	0	2	1	5	0	8	15	18	28	9	14	1	52	20	1	0	5	0	3	41	3	4	35	3	2	10	39	0	58	3	4	11	8	12	0	0	13	9	27	4	0	9	15	5	91
BPLL14	931	480	0	0	400	640	80	80	1920	860708	91673	122231	40744	1161192	1163112	2	3	2	3	8	5	2	232	1	1047	3	22	9	13	349	21	2	7	0	1	38	409	18	6	91	4	15	0	18	66	0	364	94	1009	81	0	4	84	58	1	38	45	62	1	92	0	0	814	98	55	24	4	17	0	21	9	69	2	157	2	86	2	85	17	167	7	72	1	0	1	5	0	8	21	24	2	2	16	1	53	22	2	0	0	10	0	17	2	4	46	2	0	2	72	0	41	6	2	3	0	11	1	1	1	3	27	1	5	5	11	1	61
BPLL22	1005	80	80	0	0	0	80	160	480	117138	40744	66208	30558	275020	275500	1	7	3	2	2	6	2	82	7667	7	327	2	37	0	64	628	57	21	34	0	0	33	450	4	5	25	2	3	0	66	11	49	5	25	616	18	662	8	0	62	7	0	1	31	86	67	0	933	84	29	23	9	4	3	7	6	45	1	112	1	59	2	58	16	186	12	53	1	4	5	6	1219085487	30	88	8	2	1	93	18	87	8	6	0	5	9	9	33	4	2	52	10	1	9	50	3	48	2	4	14	5	38	1	1	6	6	24	2	10	8	23	2	79
BPLL24	997	240	640	0	160	0	400	320	2400	168067	20372	71301	66208	331042	333442	2	5	2	4	9	5	2	134	5	1017	1	22	24	17	234	92	2	7	0	1	38	409	18	6	91	4	15	0	18	66	0	364	94	1009	81	0	4	84	58	1	38	45	62	1	92	0	4	905	82	51	23	13	5	4	13	0	49	1	103	7	55	8	53	8	160	8	49	2	2	1	5	120190779	5	8	5	6	7	14	1	25	14	4	0	3	2	5	30	3	6	59	2	4	4	50	0	57	2	7	8	2	33	1	0	0	6	17	1	4	9	11	7	91
