funcion1	funcion2	R	P
Isoptera	Formicidae	0.996346469182784	0
Diplopoda	Formicidae	0.887045319345592	9.29638000801702e-07
Macrofauna	Formicidae	0.999049882671502	0
Scutellospora.sp..1	Formicidae	0.975379152231654	6.28519458700794e-12
X071..15.0.3OH	Formicidae	0.994486958566509	0
X087..17.0.10.methyl	Formicidae	0.715472629121033	0.000842949829318762
Afipia	Formicidae	0.996346469182784	0
Diplopoda	Isoptera	0.896877309986727	4.63246098814096e-07
Macrofauna	Isoptera	0.995628077468838	0
Scutellospora.sp..1	Isoptera	0.980389128619746	1.0342837697408e-12
X071..15.0.3OH	Isoptera	0.998660429623809	0
X087..17.0.10.methyl	Isoptera	0.714602820084871	0.000861149954558105
Afipia	Isoptera	1	0
Flavobacterium	Coleoptera	0.727061340355557	0.000629467776033454
Acidimicrobium	Coleoptera	0.727061340355557	0.000629467776033454
Virgisporangium	Coleoptera	0.727061340355557	0.000629467776033454
Archangium	Coleoptera	0.727061340355557	0.000629467776033454
Nannocystis	Coleoptera	0.727061340355557	0.000629467776033454
Kaistobacter	Araneae	0.781279297533529	0.000129100132251869
Bacillus	Araneae	0.726815954114066	0.000633465651237008
Brevundimonas	Araneae	0.725952683905827	0.000647699409028757
Macrofauna	Diplopoda	0.887283175754214	9.14801503437701e-07
Scutellospora.sp..1	Diplopoda	0.864808884964347	3.63929921198825e-06
X071..15.0.3OH	Diplopoda	0.891641763377079	6.768304887661e-07
Afipia	Diplopoda	0.896877309986727	4.63246098814096e-07
Luteolibacter	Chilopoda	0.7974522228289	7.37771556145184e-05
Aminobacter	Chilopoda	0.7974522228289	7.37771556145184e-05
Shimazuella	Chilopoda	0.7974522228289	7.37771556145184e-05
Cavicella	Chilopoda	0.751059388367216	0.000327694107266518
A..excavata	Enchytraeidae	0.745585208062357	0.000382654208907374
S..dipapillosa	Enchytraeidae	0.741986313399029	0.000422848486699934
Streptosporangium	Enchytraeidae	0.709524572138706	0.0009740768021822
Arenimonas	Enchytraeidae	0.709524572138706	0.0009740768021822
Heliobacterium	Enchytraeidae	0.755994228269062	0.00028399454555017
Pelobacter	Enchytraeidae	0.705661486474282	0.00106801476425056
Scutellospora.sp..1	Macrofauna	0.973653116112607	1.07491793244208e-11
X071..15.0.3OH	Macrofauna	0.994061535363751	0
X087..17.0.10.methyl	Macrofauna	0.727875546141531	0.000616353459084618
Afipia	Macrofauna	0.995628077468838	0
Mesofauna	Oribatida	0.804817432541445	5.62414012394985e-05
Fauna.Total	Oribatida	0.819365196181798	3.17849092241751e-05
