funcion1	funcion2	R	P
A..excavata	Bact_total	0.76028860962824	0.000629390714311118
Entrophospora.infrequens	Bact_total	0.734239970537048	0.0012009497262615
G..microagregatum	Bact_total	0.721805724569372	0.00159459026785091
Glomus.sp..1	Bact_total	0.824538325654671	8.51562373886949e-05
X091..18.0iso	Bact_total	0.822919094165278	9.03976799873085e-05
CandidatusXiphinematobacter	Bact_total	0.73706992774459	0.00112352429914497
Iamia	Bact_total	0.812963387964702	0.000128885551069491
Salinibacter	Bact_total	0.812963387964702	0.000128885551069491
Methylococcus	Bact_total	0.812963387964702	0.000128885551069491
Leptospira	Bact_total	0.812963387964702	0.000128885551069491
Prevotella	Bact_total	0.795259946340043	0.000230806788233284
S..calospora	Lumbricina	0.862426074210363	1.72490326044716e-05
Racocetra.fulgida	Lumbricina	0.876893094824756	8.2487477761628e-06
Desulfosporomusa	Lumbricina	0.874899586477274	9.17975362657586e-06
Taire.Tsuelo.1	Lumbricina	0.853015455781154	2.67016906168038e-05
HT	Formicidae	0.77144184076544	0.000465687320012176
X010..10.0.2OH	Formicidae	0.77013788032646	0.000482785004883635
X069..16.0.10.methyl	Isoptera	0.709614788915905	0.00207670621276712
Chromohalobacter	Isoptera	0.774647887323944	0.000425760891748173
Arthrobacter	Isoptera	0.741144907995655	0.00101924515810659
Rhodopseudomonas	Araneae	0.747531930228377	0.000871824632028506
Lutibacterium	Araneae	0.747531930228377	0.000871824632028506
Prostigmata	Diplopoda	0.880433277656038	6.79086564892017e-06
A..mellea	Diplopoda	0.759884907528706	0.00063610264110725
X072..ANTEISO.17.1.w9c	Diplopoda	0.775979138071637	0.000410034072552135
X075..17.0.ISO	Diplopoda	0.77440776467541	0.000428649865095609
X100..TBSA.10Me18.0	Diplopoda	0.759471984130028	0.000643028636626575
Deinococcus	Diplopoda	0.775979138071637	0.000410034072552135
Phyllobacterium	Diplopoda	0.775979138071637	0.000410034072552135
Cytophaga	Diplopoda	0.775979138071637	0.000410034072552135
X032..14.0.ISO	Chilopoda	0.785733203395082	0.000308791512528828
X096..18.0	Chilopoda	0.814983695113131	0.000120136605489263
Cellvibrio	Chilopoda	0.820724279183211	9.79291782292613e-05
Alicyclobacillus	Chilopoda	0.820724279183211	9.79291782292613e-05
Saccharopolyspora	Chilopoda	0.820724279183211	9.79291782292613e-05
Kibdelosporangium	Chilopoda	0.820724279183211	9.79291782292613e-05
X093..18.1.w7c	Larvas	0.779703907986877	0.000368557807301606
Macrofauna	Enchytraeidae	0.894645240190526	2.91204125302258e-06
Temp...suelo...C.	Enchytraeidae	0.88295146424122	5.89153105523543e-06
Taire.Tsuelo	Enchytraeidae	0.897267216499086	7.56739996843336e-05
X032..14.0.ISO	Enchytraeidae	0.70082248648952	0.00249293820521435
X096..18.0	Enchytraeidae	0.742954042447994	0.000975560853845092
X103..19.0.ISO	Enchytraeidae	0.768892055296683	0.000499600335338135
Cellvibrio	Enchytraeidae	0.741395366207604	0.00101310375998853
Alicyclobacillus	Enchytraeidae	0.741395366207604	0.00101310375998853
Saccharopolyspora	Enchytraeidae	0.741395366207604	0.00101310375998853
Kibdelosporangium	Enchytraeidae	0.741395366207604	0.00101310375998853
Temp...suelo...C.	Macrofauna	0.827646663159386	7.58029243363989e-05
Taire.Tsuelo	Macrofauna	0.916716367074987	2.74026167814689e-05
X103..19.0.ISO	Macrofauna	0.711190475614428	0.0020084577233539
Mesofauna	Oribatida	0.938644277120711	7.45588395467678e-08
Fauna.Total	Oribatida	0.938828761285488	7.30398954651434e-08
Modestobacter	Oribatida	0.702323080734092	0.00241748793951624
Act.Nitrificante	Mesostigmata	0.750185070861538	0.000815965326623314
Densidad..g.cm3.	Prostigmata	0.766230990586547	0.00595520026369734
A..mellea	Prostigmata	0.728416095911793	0.00137402852653334
C..etunicatum	Prostigmata	0.747964891870149	0.000862501049161635
X072..ANTEISO.17.1.w9c	Prostigmata	0.716455646420982	0.00179348331402784
