AN	BP	MP
0	0.666666666666667	0
0		0
1	0.392156862745098	1
0.6	0.361702127659574	0.411764705882353
0	0.5	0
0.363636363636364	0.358974358974359	0
0	0.421052631578947	1
1	0.421052631578947	0
0.263157894736842	0.451612903225806	1
0	0	0
1	1	0.666666666666667
0	1	0
1	1	0.75
0.304347826086957	1	0.388888888888889
0.368421052631579	1	0.464285714285714
0.4	0	0
0.5	1	0.461538461538462
0.322033898305085	0	0.358974358974359
0	1	0.5
0	0	0.434782608695652
0.666666666666667	0.5	0.571428571428571
0.344262295081967	0.538461538461538	0
0.333333333333333	0	0.416666666666667
1	0.75	0.428571428571429
0	0	0.368421052631579
1	0.857142857142857	0
0.5	1	0
0.296296296296296	1	0.5
0.357142857142857	1	0.416666666666667
0	0	0
0	1	1
0.407407407407407	0	0
0.384615384615385	1	1
0	0.75	0
0.446808510638298	0.666666666666667	0
0.44	0	0.46875
0.666666666666667	0.666666666666667	0
0.446808510638298	1	0.533333333333333
0.434782608695652	0	0
	1	0
0	1	0.5
0.381818181818182	1	0.5
0.37037037037037	0	0.75
1	1	0.666666666666667
0	0	0
1	0.423076923076923	0.541666666666667
0.5	0.409090909090909	
0.345794392523364	0.5	0.516129032258065
0.5	0.666666666666667	0.727272727272727
0.5	0	0.7
0.309859154929578	0.555555555555556	0.75
0.666666666666667	0.705882352941176	0
0	0	0.6
1	0.666666666666667	0.565217391304348
0.454545454545455	0	0.666666666666667
0	0.916666666666667	0.545454545454546
1	0.909090909090909	0.666666666666667
0.318181818181818	0.9	0.545454545454546
0.5	0.888888888888889	0.545454545454546
0.392156862745098	0.7	0.666666666666667
1	0.857142857142857	0.666666666666667
0	0.8	0.666666666666667
0.363636363636364	0.75	0.444444444444444
0.308988764044944	0.666666666666667	0.466666666666667
0.666666666666667	1	0
0.545454545454546	0	1
0.5	0	1
0.5	0.444444444444444	1
0.666666666666667	0.5	1
0	0.571428571428571	1
0	0.666666666666667	0
0	1	1
1	0	0.8
0.409090909090909	0.433333333333333	0.785714285714286
0.391304347826087	0	0.692307692307692
0	1	0.727272727272727
0.387755102040816	1	0.7
0.545454545454546	1	
0.5	0	0.571428571428571
0.666666666666667	1	0
0	1	0.9
0.588235294117647	1	0.888888888888889
0.777777777777778	1	
0.714285714285714	1	0.857142857142857
1	1	0.833333333333333
0	1	0.8
1	0	0.75
0.666666666666667	1	0.666666666666667
0.8	0.785714285714286	0
0.666666666666667	0.769230769230769	1
0.75	0.75	0.5
1	0.666666666666667	0.444444444444444
0	0	0.444444444444444
0.615384615384615	0.5	0.615384615384615
0	0.666666666666667	1
0.428571428571429	0	0
0	0.361702127659574	0.846153846153846
