AN	BP	MP
2	3	2
1	6	1
1	5	1
3	6	44317
2	2	4
4	7	1
1	10.3333333333333	1
1	44354	1
3	44322	1
2	44317	44319
1	2	2
2	45748	6
2	45748	6
5.33333333333333	45748	7
44320	45748	4.66666666666667
3	44290	3
3	44318	5
6	2.33333333333333	9
11	44318	9
45839	8.66666666666667	44318
4	13	44319
44322	4	3.33333333333333
44322	4	6
5.83333333333333	4.83333333333333	44320
44291	6	6
7.66666666666667	3.33333333333333	3
11.1666666666667	5	4
3	5	4
9	5	12
7	5	2
3	5	44319
9	1	1
10.3333333333333	1	1
3	27576	5
44292	44324	4
44292	3	44412
44322	2	3
44323	8.66666666666667	2.33333333333333
9	27546	6
6.63636363636364	44318	2
10	5.27272727272727	7.88888888888889
6.16666666666667	5.27272727272727	44321
6.16666666666667	7.66666666666667	44320
6.16666666666667	7	44320
7.14285714285714	7.83333333333333	6
44354	8.14285714285714	11
45839	7	3
44353	6.11111111111111	45870
7	44413	44291
2.66666666666667	7	44291
8.22222222222222	11.7777777777778	27515
5	44418	5.33333333333333
3	9	6
4.33333333333333	8.66666666666667	44325
8.55555555555556	7.71428571428571	10
44325	11	44325
44323	11	10.6666666666667
6	11	5
27607	11	9.42857142857143
44321	12	45748
1.66666666666667	10.1538461538462	8
4.33333333333333	11	2
8	11	8
5.88888888888889	11.7777777777778	7.66666666666667
44293	4	6.85714285714286
5.33333333333333	6	4
6	8	5.33333333333333
7	4	5.33333333333333
5.33333333333333	8	5.33333333333333
	6.33333333333333	5.33333333333333
8	44291	44413
4.33333333333333	2	44413
4.66666666666667	4	9.90909090909091
6	7.85714285714286	9.90909090909091
44321	8.16666666666667	
6	5.57142857142857	9.90909090909091
5.28571428571429	5.57142857142857	9.90909090909091
44413	5.57142857142857	10.5555555555556
44413	44322	9.90909090909091
5.33333333333333	6	44326
44233	44323	44324
5	44323	44324
6.16666666666667	44323	44324
6.66666666666667	44323	44324
5	44323	7.55555555555556
5.16666666666667	44323	7.66666666666667
45778	7.85714285714286	44324
14	7.85714285714286	8.77777777777778
12.2727272727273	45931	1
44208	45931	1
45931	9.11111111111111	8.71428571428571
44319	45931	8.71428571428571
44320	7.33333333333333	9
7.16666666666667	44320	5
5	3.83333333333333	2
4	3	5
5	4.66666666666667	8.11111111111111
45778	10.5454545454545	8.11111111111111
6.16666666666667	44322	8.11111111111111
12.2857142857143	3	8.11111111111111
11.4444444444444	44291	8.11111111111111
